algorithm,scenario,model,method,train_seed,unlearn_seed,ndcg
1,data_poison,Perfect,retrain,1,104,0.5321314215900265
1,data_poison,Perfect,retrain,1,105,0.5326509772137691
1,data_poison,Perfect,retrain,1,106,0.5366097269398432
1,data_poison,Perfect,retrain,1,107,0.5282307342653426
1,data_poison,Perfect,retrain,1,108,0.5358519405747482
1,data_poison,Perfect,retrain,1,109,0.5353131381193047
1,data_poison,Perfect,FedRemove,1,100,0.5077258038831712
1,data_poison,Perfect,FedRemove,1,101,0.5077258038831712
1,data_poison,Perfect,FedRemove,1,102,0.5077258038831712
1,data_poison,Perfect,FedRemove,1,103,0.5077258038831712
1,data_poison,Perfect,FedRemove,1,104,0.5077258038831712
1,data_poison,Perfect,FedRemove,1,105,0.5077258038831712
1,data_poison,Perfect,FedRemove,1,106,0.5077258038831712
1,data_poison,Perfect,FedRemove,1,107,0.5077258038831712
1,data_poison,Perfect,FedRemove,1,108,0.5077258038831712
1,data_poison,Perfect,FedRemove,1,109,0.5077258038831712
1,data_poison,Perfect,fedEraser,1,100,0.5381364575364739
1,data_poison,Perfect,fedEraser,1,101,0.5369069448837042
1,data_poison,Perfect,fedEraser,1,102,0.5351642461475064
1,data_poison,Perfect,fedEraser,1,103,0.5357859078814893
1,data_poison,Perfect,fedEraser,1,104,0.5353474531481558
1,data_poison,Perfect,fedEraser,1,105,0.5357914504667113
1,data_poison,Perfect,fedEraser,1,106,0.5338180200486955
1,data_poison,Perfect,fedEraser,1,107,0.5387890014599441
1,data_poison,Perfect,fedEraser,1,108,0.5360066474300375
1,data_poison,Perfect,fedEraser,1,109,0.5367816550055781
1,data_poison,Perfect,fineTuning,1,100,0.5328488714733006
1,data_poison,Perfect,fineTuning,1,101,0.5317828836162685
1,data_poison,Perfect,fineTuning,1,102,0.527553715449535
1,data_poison,Perfect,fineTuning,1,103,0.5306054550251826
1,data_poison,Perfect,fineTuning,1,104,0.5320517703366581
1,data_poison,Perfect,fineTuning,1,105,0.5324154907390036
1,data_poison,Perfect,fineTuning,1,106,0.5356023464262542
1,data_poison,Perfect,fineTuning,1,107,0.5349427953457258
1,data_poison,Perfect,fineTuning,1,108,0.5288299996085232
1,data_poison,Perfect,fineTuning,1,109,0.5316309632953077
1,data_poison,Perfect,pga,1,100,0.5390624624517818
1,data_poison,Perfect,pga,1,101,0.5385785252497785
1,data_poison,Perfect,pga,1,102,0.5310248020919884
1,data_poison,Perfect,pga,1,103,0.528254116913982
1,data_poison,Perfect,pga,1,104,0.5320066076018096
1,data_poison,Perfect,pga,1,105,0.5330526808478121
1,data_poison,Perfect,pga,1,106,0.5363087830494743
1,data_poison,Perfect,pga,1,107,0.5273906168027528
1,data_poison,Perfect,pga,1,108,0.5378998602745002
1,data_poison,Perfect,pga,1,109,0.5360853895465992
1,data_poison,Navigational,retrain,1,100,0.5387871484056563
1,data_poison,Navigational,retrain,1,101,0.5307354909010744
1,data_poison,Navigational,retrain,1,102,0.5290406136173423
1,data_poison,Navigational,retrain,1,103,0.5356859832833267
1,data_poison,Navigational,retrain,1,104,0.5348370814323424
1,data_poison,Navigational,retrain,1,105,0.5307122519189001
1,data_poison,Navigational,retrain,1,106,0.5277641091539125
1,data_poison,Navigational,retrain,1,107,0.5420240051206114
1,data_poison,Navigational,retrain,1,108,0.536065734347763
1,data_poison,Navigational,retrain,1,109,0.5311923155458486
1,data_poison,Navigational,FedRemove,1,100,0.2191922141680494
1,data_poison,Navigational,FedRemove,1,101,0.2191922141680494
1,data_poison,Navigational,FedRemove,1,102,0.2191922141680494
1,data_poison,Navigational,FedRemove,1,103,0.2191922141680494
1,data_poison,Navigational,FedRemove,1,104,0.2191922141680494
1,data_poison,Navigational,FedRemove,1,105,0.2191922141680494
1,data_poison,Navigational,FedRemove,1,106,0.2191922141680494
1,data_poison,Navigational,FedRemove,1,107,0.2191922141680494
1,data_poison,Navigational,FedRemove,1,108,0.2191922141680494
1,data_poison,Navigational,FedRemove,1,109,0.2191922141680494
1,data_poison,Navigational,fedEraser,1,100,0.5385151559235314
1,data_poison,Navigational,fedEraser,1,101,0.5364529238816288
1,data_poison,Navigational,fedEraser,1,102,0.5362157534298357
1,data_poison,Navigational,fedEraser,1,103,0.5376815658864834
1,data_poison,Navigational,fedEraser,1,104,0.538217104247006
1,data_poison,Navigational,fedEraser,1,105,0.5383297771156565
1,data_poison,Navigational,fedEraser,1,106,0.5322765240306069
1,data_poison,Navigational,fedEraser,1,107,0.534916007302206
1,data_poison,Navigational,fedEraser,1,108,0.5356264469544768
1,data_poison,Navigational,fedEraser,1,109,0.5363125054711928
1,data_poison,Navigational,fineTuning,1,100,0.5463770339686936
1,data_poison,Navigational,fineTuning,1,101,0.5437946270712054
1,data_poison,Navigational,fineTuning,1,102,0.5449968926202511
1,data_poison,Navigational,fineTuning,1,103,0.5431860060447815
1,data_poison,Navigational,fineTuning,1,104,0.5473399027835311
1,data_poison,Navigational,fineTuning,1,105,0.5423854306020032
1,data_poison,Navigational,fineTuning,1,106,0.5452961663222189
1,data_poison,Navigational,fineTuning,1,107,0.5446683437283052
1,data_poison,Navigational,fineTuning,1,108,0.5448828519342085
1,data_poison,Navigational,fineTuning,1,109,0.5423791837739292
1,data_poison,Navigational,pga,1,100,0.5306786183480681
1,data_poison,Navigational,pga,1,101,0.5328002200988298
